,Uniswap 100x Leverage,Uniswap 1x Leverage,Stableswap Invariant: 1x amplification,A <--> Y,A <--> B
0,1.0,1.0,1.0,1.0,1.0
1,0.9203928014088933,0.987797409823698,0.9953201301803063,0.9966224498807018,0.9985607453653035
2,0.8512093928214706,0.9759233104974192,0.9906422908912443,0.9932686932064555,0.9971248449339162
3,0.7905637414596676,0.9643294269973515,0.9859508071085974,0.9899384576319457,0.995692235501829
4,0.7369974902615634,0.9530218521167848,0.9812706974000822,0.9866314752821256,0.9942628545649416
5,0.6893653948272408,0.9419752789042569,0.9765867991897358,0.9833474826549345,0.992836640297033
6,0.6467554921239163,0.9311943850074794,0.9718982344102755,0.9800862205265308,0.9914135315281837
7,0.608432692787291,0.9206687736881927,0.967204309753355,0.9768474338591588,0.9899934677237928
8,0.5737979980112875,0.9103657200011055,0.9625140159560456,0.9736308717116583,0.9885763889638383
9,0.5423583160515141,0.9003123418625409,0.9578163095872948,0.9704362871522091,0.9871622359227507
10,0.5137041315834211,0.8904671430404357,0.9531194829914771,0.967263437173465,0.9857509498495878
11,0.48749260566570124,0.8808444474129096,0.9484138376481084,0.9641120826099546,0.9843424725485915
12,0.46343445610947415,0.8714361666439719,0.9437069903096388,0.9609819880576695,0.9829367463601086
13,0.44128395982894225,0.8622170073223812,0.938997701931613,0.9578729217957704,0.9815337141419952
14,0.42083112103553205,0.8531990517168416,0.9342778818340887,0.9547846557103227,0.9801333192510496
15,0.4018953139590849,0.8443672477228777,0.929554281044015,0.9517169652200017,0.978735505525142
16,0.3843204528818418,0.8357160177188844,0.9248260484363855,0.9486696292037948,0.9773402172653239
17,0.367970876268459,0.8272473192733544,0.9200863466786325,0.9456424299304832,0.9759473992183969
18,0.35272816104300747,0.8189480164563293,0.9153412099131057,0.942635152989928,0.9745569965597084
19,0.3384885195986376,0.810813156601093,0.9105900966935985,0.9396475872261854,0.9731689548761586
20,0.32516052695130815,0.8028379721735648,0.9058325604909814,0.9366795246722069,0.9717832201494857
21,0.31266343739911207,0.7950178725715468,0.9010682466505959,0.9337307604862892,0.9703997387398208
22,0.30092559535140556,0.7873544610834772,0.8962919760602387,0.9308010928899696,0.9690184573693353
23,0.28988322938603794,0.7798311736346769,0.8915089057285542,0.9278903231076834,0.967639323106195
24,0.2794794363183941,0.7724557705562464,0.8867189266898696,0.9249982553076671,0.9662622833486523
25,0.26966321190052717,0.7652182862279526,0.881922008624786,0.9221246965445368,0.9648872858092756
26,0.26038879120503644,0.7581149221943964,0.877118197610095,0.9192694567030489,0.9635142784994176
27,0.2516149283883086,0.7511420161417938,0.8723076138108813,0.9164323484435416,0.9621432097137669
28,0.243304383308468,0.744296035947495,0.8674865845998682,0.9136131871483124,0.9607740280150148
29,0.23542347856773205,0.7375735740357563,0.8626632698570746,0.9108117908696436,0.9594066822187101
30,0.22794162363747783,0.7309758930438659,0.8578303941957741,0.908027980278835,0.9580411213781742
31,0.22083104092506287,0.7244905505601362,0.8529922043036593,0.9052615786165847,0.9566772947694936
32,0.21406638497935446,0.7181234689920799,0.8481524525120687,0.9025124116444747,0.9553151518766365
33,0.20762454947083925,0.7118671459566108,0.8433048963392825,0.8997803075976267,0.9539546423766049
34,0.20148436385409527,0.7057187307018153,0.8384535278037322,0.8970650971385423,0.9525957161246772
35,0.19562645834717032,0.6996754688525345,0.8335960103164015,0.8943666133118314,0.9512383231396335
36,0.19003302586207932,0.6937346983899715,0.8287390076545494,0.8916846915002483,0.9498824135890959
37,0.18468769032818233,0.6878938458307378,0.8238801597331056,0.8890191693815254,0.9485279377747993
38,0.17957538897276995,0.6821504225938507,0.8190202134723756,0.886369886886344,0.9471748461179526
39,0.17468219609898508,0.6765020215449654,0.8141574334910939,0.8837366861571837,0.9458230891445298
40,0.16999527271146486,0.6709463137078099,0.8092977927892032,0.8811194115081747,0.9444726174705746
41,0.16550271129774521,0.6654843586017126,0.8044371800455156,0.8785179093858049,0.9431233817874636
42,0.1611935049587944,0.6601072474982173,0.7995789970581807,0.8759320283305735,0.9417753328470957
43,0.15705741499615772,0.6548194307320071,0.7947263318207234,0.873361618939434,0.940428421447125
44,0.15308495453770868,0.6496124709324265,0.7898756733015095,0.8708065338291783,0.9390825984159639
45,0.14926727416748306,0.6444906187621329,0.7850302285356853,0.8682666276005104,0.9377378145978585
46,0.14559615636004822,0.6394488103167985,0.7801909616175656,0.8657417568030443,0.9363940208377688
47,0.1420639155594174,0.6344823275328537,0.7753588493312698,0.8632317799009944,0.9350511679660911
48,0.13866340068462943,0.6295951533956414,0.7705366822701927,0.8607365572396138,0.9337092067834514
49,0.13538790691501917,0.6247826187471059,0.7657217775950425,0.8582559510124526,0.9323680880451399
50,0.13223118421804497,0.6200430305560876,0.7609153297938996,0.8557898252292258,0.9310277624454785
51,0.1291873587246102,0.6153747464994447,0.756121743898217,0.8533380456844204,0.9296881806020395
52,0.12625094573455223,0.6107761730792881,0.751340274194333,0.8509004799266154,0.9283492930396098
53,0.12341677903200009,0.6062457638235288,0.7465719071589274,0.8484769972284003,0.9270110501740079
54,0.12068002719690485,0.601782017565472,0.7418176207014212,0.8460674685569765,0.925673402295642
55,0.11803612956114755,0.5973834767984303,0.7370783815787662,0.843671766545358,0.9243362995528311
56,0.11548081493264285,0.5930487261015573,0.7323538084292501,0.8412897654642195,0.922999691934877
57,0.11301004315934138,0.588776390633336,0.7276475606526581,0.8389213411942832,0.9216635292548475
58,0.11062002558151286,0.5845651346893311,0.722957926329725,0.8365663711993474,0.9203277611320593
59,0.108307171375079,0.5804158355916315,0.7182883385899721,0.8342247344998367,0.9189923369742572
60,0.10606810920597448,0.5763228301183143,0.7136383811496358,0.8318963116469044,0.9176572059594292
61,0.10389963768229638,0.572287119292509,0.7090078011725929,0.829580984697107,0.9163223170172786
62,0.10179874780527512,0.5683095557498072,0.7043996868977811,0.8272786371875489,0.9149876188103064
63,0.09976257698304807,0.5643848409507448,0.6998126601416558,0.8249891541116009,0.9136530597144578
64,0.09778843196526549,0.5605159097309581,0.6952485993001737,0.8227124218950498,0.9123185877993846
65,0.09587374596830246,0.5566976813499753,0.6907092081011341,0.8204483283727734,0.9109841508081867
66,0.0940161018518268,0.5529329972992074,0.6861932473762471,0.8181967627658926,0.909649696136725
67,0.09221319198217558,0.5492169864319255,0.6817023942158768,0.8159576156593632,0.9083151708123525
68,0.09046284146444794,0.545552397057162,0.6772381613610099,0.8137307789800297,0.9069805214721532
69,0.08876297043220575,0.5419345596603155,0.6727994230290866,0.8115161459751149,0.9056456943405686
70,0.08711161719163468,0.53836612990503,0.6683876594984974,0.8093136111911549,0.9043106352064219
71,0.08550690267515715,0.5348443553662275,0.6640034302116979,0.8071230704533235,0.9029752893992707
72,0.08394705338777547,0.5313666303892773,0.6596480044294527,0.8049444208451937,0.9016396017651407
73,0.08243036780223088,0.5279354905145625,0.6553203703143637,0.8027775606888753,0.9003035166414328
74,0.08095523571200669,0.5245483504002625,0.6510217606010619,0.8006223895255649,0.8989669778311592
75,0.07952012293806082,0.5212027644620598,0.6467526092492437,0.7984788080964574,0.8976299285763241
76,0.07812355733592216,0.517901148990562,0.6425133194524777,0.7963467183240387,0.8962923115304444
77,0.07676414762158523,0.5146410754391155,0.6383042640480822,0.7942260232937443,0.8949540687301931
78,0.07544055371833748,0.5114217653490182,0.6341257859983684,0.7921166272359464,0.893615141566081
79,0.07415150860497315,0.5082424595815609,0.6299781989360405,0.7900184355083458,0.8922754707521197
80,0.07289579005214862,0.5051024177223084,0.6258617877667576,0.7879313545786206,0.8909349962944285
81,0.07167224202850825,0.5020009175073055,0.6217768093221193,0.7858552920074804,0.8895936574587188
82,0.07047974771205938,0.4989358297439079,0.6177234930565833,0.7837901564319987,0.888251392736584
83,0.06931724759464741,0.4959093383934613,0.6137020417821567,0.7817358575492749,0.8869081398105291
84,0.06818372786983767,0.4929193251068578,0.6097126324349722,0.7796923061004092,0.8855638355176783
85,0.06707820975467672,0.48996513488952054,0.605755416868241,0.777659413854756,0.8842184158120702
86,0.06599976689549242,0.48704612832613847,0.6018305226663552,0.7756370935945112,0.8828718157254501
87,0.06494750104185548,0.484161681120206,0.5979380539753103,0.7736252590995487,0.8815239693265093
88,0.0639205619066918,0.48131118364981185,0.5940780923449027,0.771623825132564,0.8801748096784436
89,0.06291812381583932,0.4784953130420695,0.5902506975785502,0.769632707424472,0.8788242687947259
90,0.06193940254140065,0.4757109220903624,0.586455908586881,0.7676518226600975,0.8774722775930203
91,0.06098364556808704,0.472958736109052,0.582693744241573,0.7656810884641194,0.876118765847104
92,0.06005012311009914,0.47023820003419825,0.5789638404952392,0.7637204233872392,0.8747636621366712
93,0.05913814423981308,0.46754877147660673,0.5752669187812592,0.7617697468926744,0.8734068937948889
94,0.05824703560214341,0.46488992036213955,0.5716025660960949,0.7598289793428219,0.8720483868535944
95,0.057376159691946274,0.462261128584206,0.5679707296092622,0.7578980419862089,0.8706880659859249
96,0.05652489434375522,0.4596618896679589,0.5643713406225902,0.7559768569446664,0.8693258544462522
97,0.0556926482537916,0.45709283434755543,0.560804315368648,0.7540653472007262,0.8679616740074059
98,0.05487885263049014,0.454551207902893,0.5572695557929931,0.7521634365852486,0.8665954448945346
99,0.05408295346290265,0.4520376817542964,0.5537669503188997,0.7502710497652874,0.865227085716004
